,Country Name,Number of Companies,Investment Amount,Conference,Journal,Patent,Repository,Number of Companies Normalized,Investment Amount Normalized,Conference Normalized,Journal Normalized,Patent Normalized,Repository Normalized,Index Equal Metric Weights,Index Equal Pillar Weights,Index Andre Prefers,Rank Equal Metric Weights,Rank Equal Pillar Weights,Rank Andre Prefers,Rank Difference Max
97,Kuwait,0.0,0.0,2.16666668653488,17.1944445297122,0.0,3.61111111193895,0.0,0.0,0.032372733008826336,0.12403214298473063,0.0,0.059384780851374115,0.21578965684493107,0.21578965684493107,0.21578965684493107,83.0,84.0,80.0,4.0
61,Malta,0.0,5909488.0,5.83333334326744,12.5833333581686,0.0,0.578787893056869,0.0,0.02504332173331717,0.08715735744988624,0.09076988789070362,0.0,0.009518176296202488,0.21248874337010953,0.2375320651034267,0.28761870857006105,84.0,83.0,76.0,8.0
152,Montenegro,0.0,0.0,9.45000001788139,8.58333334326744,0.0,0.0,0.0,0.0,0.14119491909553275,0.061915883742455075,0.0,0.0,0.20311080283798782,0.20311080283798782,0.20311080283798782,85.0,85.0,82.0,3.0
101,Bosnia And Herzegovina,0.0,0.0,9.66666668653488,8.08333337306976,0.0,0.0,0.0,0.0,0.1444321923964154,0.058309133452339255,0.0,0.0,0.20274132584875465,0.20274132584875465,0.20274132584875465,86.0,86.0,83.0,3.0
102,Zimbabwe,0.0,0.0,7.1666667163372,8.78333342075347,0.0,1.25000002980232,0.0,0.0,0.10707903971250331,0.06335858450343858,0.0,0.02055627078009358,0.19099389499603547,0.19099389499603547,0.19099389499603547,87.0,87.0,84.0,3.0
125,Bahrain,0.0,0.0,4.83333334326744,15.1666667461395,0.0,0.5,0.0,0.0,0.0722160961982077,0.10940476589448861,0.0,0.00822250811599758,0.18984337020869388,0.18984337020869388,0.18984337020869388,88.0,88.0,85.0,3.0
63,Peru,0.0,0.0,5.00000002980232,10.0333333760499,0.0,1.58333334326744,0.0,0.0,0.07470630670367695,0.07237546044370652,0.0,0.02603794253069221,0.1731197096780757,0.1731197096780757,0.1731197096780757,89.0,89.0,86.0,3.0
57,Latvia,0.0,0.0,3.5,14.4500000327825,0.0,1.0,0.0,0.0,0.0522944143808749,0.10423508983371853,0.0,0.01644501623199516,0.1729745204465886,0.1729745204465886,0.1729745204465886,90.0,90.0,87.0,3.0
155,Oman,0.0,0.0,2.66666668653488,15.4261905252933,0.0,0.0,0.0,0.0,0.03984336363466561,0.11127684093758282,0.0,0.0,0.15112020457224842,0.15112020457224842,0.15112020457224842,91.0,92.0,88.0,4.0
64,Iceland,0.0,9100000.0,1.66666668653488,7.03333337604999,0.0,0.75,0.0,0.03856412396017832,0.02490210238298707,0.05073495741313791,0.0,0.01233376217399637,0.12653494593029965,0.16509906989047798,0.24222731781083462,92.0,91.0,79.0,13.0
163,Syria,0.0,0.0,0.5,12.3333333432674,0.0,1.58333334326744,0.0,0.0,0.007470630625839271,0.08896651253066636,0.0,0.02603794253069221,0.12247508568719784,0.12247508568719784,0.12247508568719784,93.0,93.0,90.0,3.0
104,Venezuela,0.0,0.0,3.16666668653488,5.1666667163372,0.0,0.0,0.0,0.0,0.04731399426050488,0.037269755577612175,0.0,0.0,0.08458374983811706,0.08458374983811706,0.08458374983811706,94.0,94.0,91.0,3.0
164,Tanzania,0.0,0.0,2.25,5.33333337306976,0.0,0.5,0.0,0.0,0.03361783781627672,0.03847200567431744,0.0,0.00822250811599758,0.08031235160659174,0.08031235160659174,0.08031235160659174,95.0,95.0,92.0,3.0
117,Ethiopia,0.0,0.0,1.33333334326744,6.91666670143604,0.0,0.5,0.0,0.0,0.019921681817332806,0.049893382237954705,0.0,0.00822250811599758,0.07803757217128508,0.07803757217128508,0.07803757217128508,96.0,96.0,93.0,3.0
77,Georgia,0.0,0.0,0.58333334326744,7.48333340883255,0.0,0.75,0.0,0.0,0.0087157358785739,0.05398103310420033,0.0,0.01233376217399637,0.0750305311567706,0.0750305311567706,0.0750305311567706,97.0,97.0,94.0,3.0
103,Yemen,0.0,0.0,1.5,7.15000003576278,0.0,0.0,0.0,0.0,0.02241189187751781,0.051576532480831584,0.0,0.0,0.0739884243583494,0.0739884243583494,0.0739884243583494,98.0,98.0,95.0,3.0
134,Brunei Darussalam,0.0,0.0,2.75000002980232,2.25,0.0,1.0,0.0,0.0,0.04108846888740024,0.016230377272926946,0.0,0.01644501623199516,0.07376386239232235,0.07376386239232235,0.07376386239232235,99.0,99.0,96.0,3.0
112,Myanmar,0.0,0.0,4.16666668653488,1.0,0.0,0.0,0.0,0.0,0.06225525551218342,0.007213501010189753,0.0,0.0,0.06946875652237318,0.06946875652237318,0.06946875652237318,100.0,100.0,97.0,3.0
153,Mozambique,0.0,0.0,2.5,4.16666668653488,0.0,0.0,0.0,0.0,0.037353153129196355,0.03005625435244335,0.0,0.0,0.0674094074816397,0.0674094074816397,0.0674094074816397,101.0,101.0,98.0,3.0
